Complex,Functionality
U4/U6 x U5 tri-snRNP complex,Splicing
U2 snRNP complex,Splicing
U5 snRNP complex,Splicing
Prp19-associated complex,Splicing
SF3b complex,Splicing
RENT complex,Other
RES complex,Splicing
Ubp3p/Bre5p complex,Other
commitment complex,Splicing
U1 snRNP complex,Splicing
SF3a complex,Splicing
transcription export complex,Other
U6 snRNP complex,Splicing
eIF4F,Other
Decapping Enzyme Complex,Other
Gcd10p/Gcd14p complex,Other
THO complex,Other
TRAMP complex (Air2p),Other
TRAMP complex (Air1p),Other
